Stock #,Availability,Shape,Weight,Clarity,Color,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Price,Total Price,Discount Percent,Image Link,Image Link 2,Image Link 3,Image Link 4,Image Link 5,Image Link 6,Video Link,Cut Grade,Polish,Symmetry,Depth Percent,Table Percent,Fluorescence Intensity,Fluorescence Color,Lab,Certificate #,Certificate Url,Cert Comment,Culet Condition,Culet Size,Girdle Percent,Girdle Condition,Girdle Thick,Girdle Thin,Measurements,Measurements Depth,Measurements Length,Measurements Width,Milky,Pavilion Depth,BGM,Crown Height,Crown Angle,Pavilion Angle,Laser Inscription,Member Comments,Pair,H&A,City,State,Country,Stock Number for Matching Pair,Share Access,Eye Clean,Featured,Table Open,Crown Open,Girdle Open,Star Length,Type,Tinge,Luster,Black Inclusion,Location of Black,Table Inclusion,Key To Symbol,Surface Graining,Internal Graining,Inclusion Pattern,Diamond Origin Report,Short Title,Arrival Date,Growth Type
1164168,Available,Radiant,1.04,VVS2,F,,,,680,707,-91.5,https://viw-us.s3.amazonaws.com/1164168/still.jpg,,,,,,https://viw-us.s3.amazonaws.com/viewer/index.html?d=1164168,-,EX,EX,64.6,66.5,None,,IGI,529287274,https://viw-us.s3.amazonaws.com/c/529287274.jpg,This Laboratory Grown Diamond Was Created By Chemical Vapor Deposition (Cvd) Growth Process And May Include Post-Growth Treatment Type Iia,Pointed,,0.04,,,MED,7.40x5.05x3.26,3.26,7.4,5.05,,48.5,,12.5,39.9,34.1,LABGROWN IGI LG529287274,,,,New York,New York,United States,,,,,,,,,CVD - CVD Type IIA,Yellowish-White,,,,,,,,,,,,CVD
1167860,Available,Radiant,3.13,SI1,G,,,,1080,3380,-94,https://viw-us.s3.amazonaws.com/1167860/still.jpg,,,,,,https://viw-us.s3.amazonaws.com/viewer/index.html?d=1167860,-,EX,EX,68.5,65.5,None,,IGI,529286716,https://viw-us.s3.amazonaws.com/c/529286716.jpg,This Laboratory Grown Diamond Was Created By Chemical Vapor Deposition (Cvd) Growth Process And May Include Post-Growth Treatment Type Iia,Pointed,,0.04,,,STK,10.29x7.09x4.86,4.86,10.29,7.09,,50,,14.5,44.6,34.7,LABGROWN IGI LG529286716,,,,New York,New York,United States,,,,,,,,,CVD - CVD Type IIA,Yellowish-White,,,,,,,,,,,,CVD
1053560,Available,Radiant,2.11,SI1,G,,,,549,1158,-95.5,https://viw-us.s3.amazonaws.com/1053560/still.jpg,,,,,,https://viw-us.s3.amazonaws.com/viewer/index.html?d=1053560,-,EX,EX,67.7,65,None,,IGI,496117476,https://viw-us.s3.amazonaws.com/c/496117476.jpg,This Laboratory Grown Diamond Was Created By Chemical Vapor Deposition (Cvd) Growth Process And May Include Post-Growth Treatment Type Iia,Pointed,,0.04,,STK,MED,8.40x6.47x4.38,4.38,8.4,6.47,,51.5,,13,41.9,32.6,LABGROWN IGI LG496117476,,,,New York,New York,United States,,,,,,,,,CVD - CVD Type IIA,Yellowish-Greyish,,,,,,,,,,,,CVD
1200661,Available,Radiant,2.08,SI1,G,,,,793,1649,-93.5,https://viw-us.s3.amazonaws.com/1200661/still.jpg,,,,,,https://viw-us.s3.amazonaws.com/viewer/index.html?d=1200661,-,EX,EX,65,68.5,None,,IGI,536206116,https://viw-us.s3.amazonaws.com/c/536206116.jpg,This Laboratory Grown Diamond Was Created By Chemical Vapor Deposition (Cvd) Growth Process And May Include Post-Growth Treatment Type Iia,Pointed,,0.04,,STK,MED,9.14x6.29x4.09,4.09,9.14,6.29,,48,,13,44.6,33.5,LABGROWN IGI LG536206116,,,,New York,New York,United States,,,,,,,,,CVD - CVD Type IIA,Yellowish-Greyish,,,,,,,,,,,,CVD
1159543,Available,Radiant,2.05,SI1,G,,,,793,1626,-93.5,https://viw-us.s3.amazonaws.com/1159543/still.jpg,,,,,,https://viw-us.s3.amazonaws.com/viewer/index.html?d=1159543,-,EX,EX,66.5,64.5,None,,IGI,529287265,https://viw-us.s3.amazonaws.com/c/529287265.jpg,This Laboratory Grown Diamond Was Created By Chemical Vapor Deposition (Cvd) Growth Process And May Include Post-Growth Treatment Type Iia,Pointed,,0.04,,,MED,8.76x6.35x4.22,4.22,8.76,6.35,,49,,14,42.7,34.8,LABGROWN IGI LG529287265,,,,New York,New York,United States,,,,,,,,,CVD - CVD Type IIA,Yellowish-Greyish,,,,,,,,,,,,CVD
1098794,Available,Radiant,2.03,SI1,G,,,,732,1486,-94,https://viw-us.s3.amazonaws.com/1098794/still.jpg,,,,,,https://viw-us.s3.amazonaws.com/viewer/index.html?d=1098794,-,EX,EX,65.8,64.5,None,,IGI,516259734,https://viw-us.s3.amazonaws.com/c/516259734.jpg,This Laboratory Grown Diamond Was Created By Chemical Vapor Deposition (Cvd) Growth Process And May Include Post-Growth Treatment Type Iia,Pointed,,4.1,,STK,MED,8.79x6.41x4.22,4.22,8.79,6.41,,49,,13,40.3,34.7,LABGROWN IGI LG516259734,,,,New York,New York,United States,,,,,,,,,CVD - CVD Type IIA,Yellowish-Greyish,,,,,,,,,,,,CVD
1211659,Available,Radiant,2.03,SI1,G,,,,793,1610,-93.5,https://viw-us.s3.amazonaws.com/1211659/still.jpg,,,,,,https://viw-us.s3.amazonaws.com/viewer/index.html?d=1211659,-,VG,VG,65.7,67.5,None,,IGI,537214877,https://viw-us.s3.amazonaws.com/c/537214877.jpg,This Laboratory Grown Diamond Was Created By Chemical Vapor Deposition (Cvd) Growth Process And May Include Post-Growth Treatment Type Iia,Pointed,,0.04,,,MED,13.28x9.10x4.08,4.08,13.28,9.1,,48,,14,44,33.2,LABGROWN IGI LG537214877,,,,New York,New York,United States,,,,,,,,,CVD - CVD Type IIA,Yellowish-Greyish,,,,,,,,,,,,CVD
1055669,Available,Radiant,2.02,SI1,G,,,,549,1109,-95.5,https://viw-us.s3.amazonaws.com/1055669/still.jpg,,,,,,https://viw-us.s3.amazonaws.com/viewer/index.html?d=1055669,-,EX,EX,69.6,65.5,None,,IGI,496113488,https://viw-us.s3.amazonaws.com/c/496113488.jpg,This Laboratory Grown Diamond Was Created By Chemical Vapor Deposition (Cvd) Growth Process And May Include Post-Growth Treatment Type Iia,Pointed,,0.04,,,MED,7.99x6.21x4.32,4.32,7.99,6.21,,51.5,,14,46.5,30.9,LABGROWN IGI LG496113488,,,,New York,New York,United States,,,,,,,,,CVD - CVD Type IIA,Yellowish-Greyish,,,,,,,,,,,,CVD
1096190,Available,Radiant,2.02,SI1,G,,,,732,1479,-94,https://viw-us.s3.amazonaws.com/1096190/still.jpg,,,,,,https://viw-us.s3.amazonaws.com/viewer/index.html?d=1096190,-,EX,EX,65.3,64.5,None,,IGI,512223072,https://viw-us.s3.amazonaws.com/c/512223072.jpg,This Laboratory Grown Diamond Was Created By Chemical Vapor Deposition (Cvd) Growth Process And May Include Post-Growth Treatment Type Iia,Pointed,,4.4,,STK,MED,9.14x6.28x4.10,4.1,9.14,6.28,,49.5,,12,40.5,34.5,LABGROWN IGI LG512223072,,,,New York,New York,United States,,,,,,,,,CVD - CVD Type IIA,Yellowish-Greyish,,,,,,,,,,,,CVD
1161917,Available,Radiant,2.02,SI1,G,,,,915,1848,-92.5,https://viw-us.s3.amazonaws.com/1161917/still.jpg,,,,,,https://viw-us.s3.amazonaws.com/viewer/index.html?d=1161917,-,EX,EX,64.6,64,None,,IGI,523204109,https://viw-us.s3.amazonaws.com/c/523204109.jpg,This Laboratory Grown Diamond Was Created By Chemical Vapor Deposition (Cvd) Growth Process And May Include Post-Growth Treatment Type Iia,Pointed,,0.04,,,MED,8.83x6.41x4.14,4.14,8.83,6.41,,47.5,,13,41.4,33.1,LABGROWN IGI LG523204109,,,,New York,New York,United States,,,,,,,,,CVD - CVD Type IIA,Yellowish-Greyish,,,,,,,,,,,,CVD
